Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
1,0,0,1,2020-02-27
0,0,0,1,2020-02-28
2,0,0,3,2020-02-29
1,0,0,4,2020-03-01
0,0,0,4,2020-03-02
2,0,0,6,2020-03-03
5,0,0,11,2020-03-04
0,0,0,11,2020-03-05
13,0,1,23,2020-03-06
0,0,0,23,2020-03-07
13,0,0,36,2020-03-08
55,0,0,91,2020-03-09
172,0,0,263,2020-03-10
180,0,0,443,2020-03-11
173,0,0,616,2020-03-12
187,0,0,803,2020-03-13
32,1,0,834,2020-03-14
39,1,0,872,2020-03-15
58,1,0,929,2020-03-16
92,1,0,1020,2020-03-17
91,0,0,1111,2020-03-18
109,2,0,1218,2020-03-19
112,3,0,1327,2020-03-20
83,4,0,1406,2020-03-21
94,0,0,1500,2020-03-22
58,11,0,1547,2020-03-23
146,8,35,1650,2020-03-24
144,2,5,1787,2020-03-25
161,7,9,1932,2020-03-26
177,11,7,2091,2020-03-27
166,13,0,2244,2020-03-28
198,7,16,2419,2020-03-29
191,5,0,2605,2020-03-30
284,13,4,2872,2020-03-31
251,14,894,2215,2020-04-01
283,19,201,2278,2020-04-02
373,16,115,2520,2020-04-03
323,22,92,2729,2020-04-04
292,18,50,2953,2020-04-05
314,8,60,3199,2020-04-06
391,16,132,3442,2020-04-07
331,15,142,3616,2020-04-08
233,19,120,3710,2020-04-09
184,10,46,3838,2020-04-10
177,13,182,3820,2020-04-11
178,13,180,3805,2020-04-12
144,12,112,3825,2020-04-13
193,14,286,3718,2020-04-14
170,10,236,3642,2020-04-15
198,12,278,3550,2020-04-16
194,15,368,3361,2020-04-17
169,10,460,3060,2020-04-18
143,9,297,2897,2020-04-19
131,9,171,2848,2020-04-20
180,6,390,2632,2020-04-21
217,14,387,2448,2020-04-22
163,10,297,2304,2020-04-23
137,9,142,2290,2020-04-24
235,15,143,2367,2020-04-25
130,4,136,2357,2020-04-26
123,5,154,2321,2020-04-27
153,7,165,2302,2020-04-28
157,9,245,2205,2020-04-29
150,9,183,2163,2020-04-30
153,8,183,2125,2020-05-01
96,15,160,2046,2020-05-02
116,9,99,2054,2020-05-03
147,9,101,2091,2020-05-04
151,10,208,2024,2020-05-05
117,3,197,1941,2020-05-06
145,8,218,1860,2020-05-07
135,8,218,1769,2020-05-08
101,4,166,1700,2020-05-09
110,3,124,1683,2020-05-10
84,4,111,1652,2020-05-11
78,-6,252,1484,2020-05-12
76,6,83,1471,2020-05-13
46,4,142,1371,2020-05-14
78,0,154,1295,2020-05-15
67,6,148,1208,2020-05-16
69,4,120,1153,2020-05-17
41,1,74,1119,2020-05-18
76,3,115,1077,2020-05-19
73,3,120,1027,2020-05-20
65,7,107,978,2020-05-21
48,0,121,905,2020-05-22
59,0,72,892,2020-05-23
72,1,64,899,2020-05-24
27,1,64,861,2020-05-25
41,0,80,822,2020-05-26
53,2,62,811,2020-05-27
32,3,74,766,2020-05-28
81,0,60,787,2020-05-29
40,3,87,737,2020-05-30
36,3,35,735,2020-05-31
30,2,50,713,2020-06-01
35,4,77,667,2020-06-02
37,0,63,641,2020-06-03
40,2,70,609,2020-06-04
64,4,33,636,2020-06-05
49,1,68,616,2020-06-06
24,2,34,604,2020-06-07
14,4,37,577,2020-06-08
39,0,57,559,2020-06-09
15,0,55,519,2020-06-10
19,0,51,487,2020-06-11
64,1,38,512,2020-06-12
40,3,42,507,2020-06-13
54,0,33,528,2020-06-14
24,1,22,529,2020-06-15
33,0,35,527,2020-06-16
44,0,60,511,2020-06-17
50,2,57,502,2020-06-18
47,0,40,509,2020-06-19
0,0,0,509,2020-06-20
0,0,0,509,2020-06-21
136,2,65,578,2020-06-22
34,1,46,565,2020-06-23
54,0,29,590,2020-06-24
21,0,38,573,2020-06-25
39,1,48,563,2020-06-26
0,0,0,563,2020-06-27
0,0,0,563,2020-06-28
76,1,104,534,2020-06-29
17,0,37,514,2020-06-30
26,1,44,495,2020-07-01
21,0,76,440,2020-07-02
17,0,48,409,2020-07-03
0,0,0,409,2020-07-04
1,0,0,410,2020-07-05
46,1,118,337,2020-07-06
10,2,49,296,2020-07-07
12,0,18,290,2020-07-08
16,0,44,262,2020-07-09
30,0,32,260,2020-07-10
0,0,0,260,2020-07-11
0,609,0,0,2020-07-12
91,2,53,0,2020-07-13
24,0,30,0,2020-07-14
31,-610,22,300,2020-07-15
32,0,13,319,2020-07-16
49,1,14,353,2020-07-17
0,0,0,353,2020-07-18
3,0,0,356,2020-07-19
89,0,42,403,2020-07-20
40,0,10,433,2020-07-21
48,0,13,468,2020-07-22
40,1,25,482,2020-07-23
48,1,41,488,2020-07-24
1,0,0,489,2020-07-25
22,0,0,511,2020-07-26
110,0,77,544,2020-07-27
36,0,34,546,2020-07-28
57,1,34,568,2020-07-29
96,1,41,622,2020-07-30
64,0,53,633,2020-07-31
0,0,0,633,2020-08-01
0,0,3,630,2020-08-02
207,1,104,732,2020-08-03
79,0,33,778,2020-08-04
126,0,38,866,2020-08-05
146,1,35,976,2020-08-06
161,0,53,1084,2020-08-07
4,0,1,1087,2020-08-08
8,0,22,1073,2020-08-09
376,3,85,1361,2020-08-10
156,1,73,1443,2020-08-11
132,0,78,1497,2020-08-12
167,0,65,1599,2020-08-13
168,0,85,1682,2020-08-14
109,0,59,1732,2020-08-15
136,0,65,1803,2020-08-16
124,0,81,1846,2020-08-17
119,0,118,1847,2020-08-18
90,0,143,1794,2020-08-19
117,0,136,1775,2020-08-20
72,0,201,1646,2020-08-21
112,1,0,1757,2020-08-22
78,0,236,1599,2020-08-23
106,1,167,1537,2020-08-24
84,0,162,1459,2020-08-25
57,0,151,1365,2020-08-26
90,1,161,1293,2020-08-27
73,0,117,1249,2020-08-28
